id,name,type_code,is_intervention,is_international
320,Ottoman-Bilmez-Asiri War,3,False,
321,First British-Zulu,3,False,
322,First British-Afghan,3,False,
323,First Opium,3,False,
324,First Franco-Algerian,3,False,
325,Peru-Bolivian,3,False,
326,British-Sind,3,False,
327,Uruguay War,3,True,
329,Gwalior,3,False,
330,Franco-Moroccan,3,False,
331,First British-Sikh,3,False,
332,Cracow Revolt,3,True,
333,First British-Xhosa,3,False,
334,First Dutch-Bali,3,False,
335,Second British-Sikh,3,False,
336,Chinese Pirates,3,False,
337,Second British-Xhosa,2,False,
338,Ottoman-Yam,3,False,
339,Second British-Burmese,3,False,
340,French-Tukulor War,3,False,
341,British-Santal,2,False,
342,Hodeida Seige,2,False,
343,Second Opium,3,True,
345,French Conquest of Kabylia,2,False,
347,Indian Mutiny,2,False,
349,First Franco-Vietnamese,3,False,
350,Netherlands-Bone,3,False,
351,Argentine-Buenos Aires,3,False,
352,Garibaldi Expedition,3,False,
353,Spanish-Santo Dominican,2,False,
355,British-Maori,2,False,
356,Shimonoseki War,3,True,
357,British Umbeyla Campaign,3,False,
359,Russian-Kokand,3,False,
360,British-Bhutanese,3,False,
361,Russian-Bukharan,3,False,
362,British-Ethiopian,3,False,
363,First Spanish-Cuban,2,False,
364,Attack on Bahr el-Ghazal,3,False,
365,Ottoman Conquest of Arabia,3,False,
366,Second Franco-Algerian,2,False,
367,Second British-Ashanti,3,False,
369,Second Franco-Vietnamese,3,False,
370,First Dutch-Achinese,3,False,
371,Kokand Rebellion,3,False,
372,Egyptian-Ethiopian,3,False,
373,Serbian-Turkish,3,False,
374,Third British-Xhosa,2,False,
375,Egypt-Sudanese Slavers,3,False,
376,Russo-Turkoman,3,False,
377,Austrian-Bosnian,3,False,
379,Second British-Afghan,3,False,
380,Second British-Zulu,3,False,
381,Gun War,2,False,
382,First Boer War,2,False,
383,Franco-Tunisian,3,False,
384,First British-Mahdi,2,True,
385,Third Franco-Vietnamese,3,True,
386,First Franco-Madagascan,3,False,
387,Third British-Burmese,3,False,
389,French-Mandinka,3,False,
390,Russo-Afghan,3,False,
391,Serbian-Bulgarian,3,False,
392,First Italian-Ethiopian,3,False,
